,dim_ad_channel_level1,install_deviceid_cnt,day1_ltv_sum,day2_ltv_sum,day3_ltv_sum,day4_ltv_sum,day5_ltv_sum,day6_ltv_sum,day7_ltv_sum,day30_ltv_sum,day60_ltv_sum,day90_ltv_sum,day180_ltv_sum,day360_ltv_sum,dt,diff_0,month,weekday,is_holiday,is_promo,days_to_next_promo,days_past_last_promo,season,day7_ltv_label,install_deviceid_cnt_zscore,lag_1_install_cnt_zscore,lag_2_install_cnt_zscore,lag_3_install_cnt_zscore,lag_4_install_cnt_zscore,lag_5_install_cnt_zscore,lag_6_install_cnt_zscore,lag_7_install_cnt_zscore,lag_1_install_cnt,lag_2_install_cnt,lag_3_install_cnt,lag_4_install_cnt,lag_5_install_cnt,lag_6_install_cnt,lag_7_install_cnt,avg_day1_ltv,lag_1_avg_day1_ltv,lag_2_avg_day1_ltv,lag_3_avg_day1_ltv,lag_4_avg_day1_ltv,lag_5_avg_day1_ltv,lag_6_avg_day1_ltv,lag_7_avg_day1_ltv,lag_1_contrib_ltv,lag_2_contrib_ltv,lag_3_contrib_ltv,lag_4_contrib_ltv,lag_5_contrib_ltv,lag_6_contrib_ltv,lag_7_contrib_ltv
86,信息流,28575,647502.1,805004.19,902243.6,929792.87,961258.91,980956.57,985613.75,1206610.53,1401465.99,1497893.6,1758829.52,2263774.89,2022-01-21,0,1,4,0,0,10,0,winter,985613.75,-0.3563506736061333,-0.19249384444397302,-0.8501969503865331,-1.5207961956613,-0.32524821992257513,1.9679887919163626,0.6935467873217827,0.5835503047823695,28791.0,27924.0,27040.0,28616.0,31639.0,29959.0,29814.0,22.659741032370952,19.94824215900802,22.01888554648331,21.851680473372777,21.017519569471624,22.159408325168304,23.89768717246904,20.129597169115183,28.176728491542494,33.266363701475434,38.17638535502959,38.66070275370422,40.81501122032934,43.21723054841617,37.80461427517274
90,信息流,28853,558921.55,718291.04,790385.45,820259.67,842930.17,852128.97,853055.2,1105227.49,1279599.41,1395742.07,1706452.84,2228401.1,2022-01-22,0,1,5,0,0,9,0,winter,853055.2,-0.05569399930721236,-0.2718605864961134,-0.10390381371624785,-0.778063637790986,-1.465442281945621,-0.2399799027740093,2.11063733849235,0.80430688353784,28575.0,28791.0,27924.0,27040.0,28616.0,31639.0,29959.0,19.37134959969501,22.659741032370952,19.94824215900802,22.01888554648331,21.851680473372777,21.017519569471624,22.159408325168304,23.89768717246904,28.171625196850393,30.258820464728558,36.00007341355107,39.87075813609468,40.092998672071566,42.53490186162647,43.21723054841617
94,信息流,28701,537728.39,690177.102,730978.642,750727.372,759371.052,763464.512,768953.432,1101156.402,1292479.412,1416662.762,1751585.142,2286259.742,2022-01-23,0,1,6,0,0,8,0,winter,768953.432,-0.054164380140129066,0.06987307042559023,-0.15698489837223847,0.019278847168520515,-0.6882242425714704,-1.4095999419142062,-0.12352742815385366,2.343348973557787,28853.0,28575.0,28791.0,27924.0,27040.0,28616.0,31639.0,18.735528030382216,19.37134959969501,22.659741032370952,19.94824215900802,22.01888554648331,21.851680473372777,21.017519569471624,22.159408325168304,24.894847676151528,31.5745791776028,31.9620982251398,37.30669746454662,41.2059275147929,41.38904389152921,42.53490186162647
98,信息流,13748,336874.37,425018.27,453617.42,453646.87,450568.0,459277.35,458237.71,633140.33,730161.5,788074.42,965073.02,1265769.303,2022-01-24,0,1,0,0,0,7,0,winter,458237.71,-2.627598050950582,0.44605239541287356,0.4772966185017016,0.4201525789050293,0.46455226434704805,0.2863368602811672,0.10462703652772011,0.42858029697504213,28701.0,28853.0,28575.0,28791.0,27924.0,27040.0,28616.0,24.5035183299389,18.735528030382216,19.37134959969501,22.659741032370952,19.94824215900802,22.01888554648331,21.851680473372777,21.017519569471624,24.047144768474965,27.393527536131423,32.53868311461067,33.31783300336911,38.049204268729405,42.63468639053254,41.38904389152921
102,信息流,9912,238624.73,276532.73,277565.19,274909.45,278150.16,284807.72,288281.9,434843.26,506736.37,553580.98,681993.16,886036.36,2022-01-25,0,1,1,0,0,6,0,winter,288281.9,-1.976971309181752,-1.4459397328200685,0.6240590057973068,0.6451009243601263,0.6066163627781274,0.636518036525292,0.5164960405123672,0.3941206720286008,13748.0,28701.0,28853.0,28575.0,28791.0,27924.0,27040.0,24.074327078288945,24.5035183299389,18.735528030382216,19.37134959969501,22.659741032370952,19.94824215900802,22.01888554648331,21.851680473372777,30.914916351469305,25.468751681126093,28.428921429314112,33.63985686789152,34.08136014726824,39.149040610227765,42.63468639053254
106,信息流,7916,145791.75,166231.59,171184.68,170844.58,172618.95,174361.85,173982.75,312453.31,380481.91,411903.44,512724.29,680685.34,2022-01-26,0,1,2,0,0,5,0,winter,173982.75,-1.5666085854890859,-1.3414294016316548,-0.908670208607053,0.7782558115433305,0.7954037253440968,0.7640410935242742,0.7884091815569422,0.6905983837591502,9912.0,13748.0,28701.0,28853.0,28575.0,28791.0,27924.0,18.417350934815563,24.074327078288945,24.5035183299389,18.735528030382216,19.37134959969501,22.659741032370952,19.94824215900802,22.01888554648331,27.89878228410008,32.995157113762,26.156836765269503,29.21464561744013,34.32918880139982,34.43027195998749,39.149040610227765
110,信息流,7618,119367.83,141945.25,152519.48,150240.79,154110.19,155169.72,159177.72,297468.37,351144.66,405142.72,501694.87,645740.83,2022-01-27,0,1,3,0,0,4,0,winter,159177.72,-1.2103005858468907,-1.1793318556047634,-0.9719037161306501,-0.573259255698436,0.9806851178268237,0.9964812486885798,0.9675909567177363,0.9900380900476003,7916.0,9912.0,13748.0,28701.0,28853.0,28575.0,28791.0,15.669182200052507,18.417350934815563,24.074327078288945,24.5035183299389,18.735528030382216,19.37134959969501,22.659741032370952,19.94824215900802,20.999442900454774,28.002944915254236,32.99729924352633,26.45799979094805,29.533461685093403,34.4921697287839,34.43027195998749
114,信息流,7499,81910.32,100609.42,111120.97,113033.47,119586.62,121101.85,124963.85,263240.77,313726.09,342261.89,473774.37,629774.567,2022-01-28,0,1,4,0,0,3,0,winter,124963.85,-0.9518835709379035,-0.9394409901397038,-0.9082822583929516,-0.6995814913912155,-0.29849123977866043,1.2649870011917608,1.2808800455726543,1.2518125038760197,7618.0,7916.0,9912.0,13748.0,28701.0,28853.0,28575.0,10.922832377650355,15.669182200052507,18.417350934815563,24.074327078288945,24.5035183299389,18.735528030382216,19.37134959969501,22.659741032370952,18.632876082961406,21.625149065184434,27.735013115415658,32.773348850741925,26.60062408975297,29.56556337295948,34.4921697287839
118,信息流,6348,71655.56,80276.88,83130.88,88524.58,92238.58,97359.97,99717.88,231307.11,296175.99,322663.7,417068.38,547773.56,2022-01-29,0,1,5,0,0,2,0,winter,99717.88,-0.8412773235530581,-0.7117613215588335,-0.6983708747844525,-0.6648384954670946,-0.44023906889848297,-0.008594078759608072,1.6739886995372104,1.6910924634843192,7499.0,7618.0,7916.0,9912.0,13748.0,28701.0,28853.0,11.287895400126024,10.922832377650355,15.669182200052507,18.417350934815563,24.074327078288945,24.5035183299389,18.735528030382216,19.37134959969501,13.416378183757834,20.020934628511423,21.582185447195553,28.0619612590799,33.4068482688391,26.791868994111706,29.56556337295948
122,信息流,5307,49595.03,61497.62,64996.67,66561.58,71117.08,77258.08,84973.98,195886.65,234029.12,253628.56,340751.28,472283.49,2022-01-30,0,1,6,0,0,1,0,winter,84973.98,-0.7793836069028751,-0.633829222172376,-0.4728944509669924,-0.45625566923507177,-0.414588804057657,-0.1355047003861142,0.40085132250168054,2.491605131219406,6348.0,7499.0,7618.0,7916.0,9912.0,13748.0,28701.0,9.3452100998681,11.287895400126024,10.922832377650355,15.669182200052507,18.417350934815563,24.074327078288945,24.5035183299389,18.735528030382216,12.64601134215501,14.818105080677423,19.721815437122604,21.806335270338558,28.733627925746568,33.33122708757637,26.791868994111706
